title,author,source,year,abstract,has_data,raw_answer
春节前后工贸企业典型事故警示,nan,"0
source       期刊
source    安全与健康
Name: 0, dtype: str",,<正>日前，应急管理部发布一批工贸企业春节前后高温熔融金属遇水爆炸、粉尘爆炸、有限空间作业、一氧化碳中毒窒息等典型事故案例，指导督促各地区和相关企业深刻吸取教训，引以为戒、举一反三，有效防范重大安全风险，坚决遏制各类事故发生。一、广东惠州惠东县华业铸造厂“2·18”较大爆炸事故（冶金行业）2022年2月18日（正月十八），广东惠州惠东县华业铸造厂炼钢车间进行炼钢作业时电弧炉发生爆炸，造成3人死亡、2人重伤、13人轻微伤。,False,否
南通市2022—2024年小微企业职业危害因素检测结果分析,杨建军; 陆春花; 高海萍; 陈颖; 周萍,"0
source          期刊
source    海峡预防医学杂志
Name: 1, dtype: str",,"目的 了解南通市小微企业职业卫生状况，为该类企业职业病防治提供参考。方法 按照工作场所粉尘、毒物和噪声标准方法采样或检测，按照职业卫生限值标准评价检测结果超限情况，用SPSS 21.0软件对检测结果比较分析。结果 2022—2024年南通市656家小微企业检测点位4 166个，超限率29.5%（1 227个）。粉尘、化学毒物、噪声检测点超限率分别为17.6%、12.3%和48.6%,噪声超限率最高（χ<sup>2</sup>=574.50,P<0.01）。家具制造业、非金属矿物制品业、金属制品业、通用设备制造业、金属船舶制造、其他行业检测点超限率分别为14.4%、35.9%、40.9%、33.9%、33.3%和10.0%,金属制品业超限率最高（χ<sup>2</sup>=274.43,P<0.01）。微型企业超限率（34.0%）高于小型企业（28.3%,χ<sup>2</sup>=10.86,P<0.01）。结论 南通市小微企业职业病防治最需要关注的职业病危害因素是噪声，最需要关注的行业是金属制品业，除此之外，金属船舶制造粉尘超限值情况也不容忽视。",False,否
2023年黄石市采矿企业粉尘和噪声监测结果分析,李霞; 郑登峰; 郁英杰; 宋焰超; 张家泉,"0
source       期刊
source    职业与健康
Name: 2, dtype: str",,目的 分析2023年黄石市42家采矿企业工作场所粉尘和噪声监测结果，了解黄石市采矿企业职业病危害现状，为黄石市采矿企业职业病防治提供参考依据。方法 从《工作场所职业病危害因素监测》系统中导出2023年黄石市42家采矿企业的基本信息、调查结果及监测结果进行分析。结果 黄石市采矿企业主要分布在大冶市（59.52%）和阳新县（38.10%）。行业主要为常用有色金属矿采选业（30.95%），黑色金属矿采选业（30.95%），土砂石开采业（26.19%）。规模以小型为主（64.29%）。接触粉尘噪声人数分别为3 683和3 407人。矽尘岗位超标率高于噪声和其他粉尘（P<0.05）；铁山区岗位超标率高于阳新县和大冶市（P<0.05）；中型企业岗位超标率高于大型、小型和微型企业（P<0.05）；常用有色金属矿采选业岗位超标率高于贵金属矿采选业、黑色金属矿采选业、石棉及其他非金属矿采选和土砂石开采业（P<0.05）；凿岩、破碎、筛分岗位职业病危害因素超标率高，不同岗位职业病危害因素超标率差异有统计学意义（P<0.05）。结论 2023年黄石市采矿企业总体粉尘和噪声超标率高，凿岩、破碎、筛分等岗位职业,False,否
2022年九江市276家企业工作场所职业病危害因素监测结果分析,潘健,"0
source         期刊
source    中国卫生工程学
Name: 3, dtype: str",,"目的 分析九江市工业企业职业病危害因素监测情况，以推进本市工作场所职业病危害因素监测项目工作。方法 根据中国疾病预防控制中心制定的《工作场所职业病危害因素监测技术方案(2022版)》,抽取276家工业企业开展现场调查和职业病危害因素监测，分析企业职业卫生工作现状和职业病危害因素分布情况和影响因素。结果 监测的276家企业中粉尘和噪声合格率较低，工种合格率分别为46.7%和69.2%,化学因素合格率较高，工种合格率为96.2%。粉尘和噪声超标岗位集中在石材加工、土砂石开采业等行业，化学毒物超标集中在涂料、家具制造和印刷行业。结论 九江市建材等行业、小微规模工业企业职业病危害因素比较普遍，粉尘和噪声仍是危害程度最大的职业病危害因素，应进一步加强小微企业和建材行业的重点岗位的职业病防治工作。",False,否
2017—2022年芜湖市接尘作业工人健康状况分析,曹伟; 范磊,"0
source       期刊
source    职业与健康
Name: 4, dtype: str",,"目的 了解芜湖市接尘作业工人粉尘危害和健康状况，为制定相应的防控措施提供科学依据。方法 收集2017—2022年芜湖市各职业健康检查机构接尘作业工人健康检查数据，使用Excel 2007建立数据库，使用SPSS 19.0进行统计分析。结果 本次共收集22 131例接尘作业工人在岗期间职业健康检查数据，健康检查的人员中发现疑似职业病11例，职业禁忌证68例，健康检查总异常率为0.36%；高血压异常率为23.45%，男性高血压异常率高于女性，差异有统计学意义（χ<sup>2</sup>=47.841,P<0.01），年龄≥55岁人群高血压异常率高于其他年龄人群，工龄≥10年人群高血压异常率高于其他工龄组，小微企业的异常率分别为30.49%和39.82%；心电图异常率为19.14%，男性心电图异常率高于女性（χ<sup>2</sup>=78.188,P<0.01），年龄≥55岁的接尘作业工人的心电图异常率为27.84%，不同年龄组心电图异常率差异有统计学意义（χ<sup>2</sup>=179.587,P<0.01）；尘肺样改变检出率为0.29%，年龄≥55岁的接尘作业工人胸片尘肺样改变率为",False,否
城市绿地对大气颗粒物的消减效应研究——以安庆市为例,范志强; 许景郅; 张业宏; 凌张军; 丁元春,"0
source      期刊
source    西北园艺
Name: 5, dtype: str",,以安庆为研究地点，探索城市绿地与大气颗粒物消减之间关系，旨在筛选出消减能力较强的绿地和植物群落类型，为城市绿地规划和公众健康管理提供科学依据。在安庆5个具有代表性的城市绿地中选取不同的植物群落配置类型，5个城市绿地分别是菱湖公园、狮子山公园、集贤南路、集贤北路、独秀大道，植物群落配置类型主要包括乔、乔草、灌草、乔灌、乔灌草结构，并以无绿化的裸地为对照。测定样地中不同植物配置对PM<sub>2.5</sub>和PM<sub>10</sub>的消减作用并进行比较。结果显示：各场地中，独秀大道对PM<sub>2.5</sub>的消减率最高，其次是集贤南路、菱湖公园、集贤北路，狮子山公园对PM<sub>2.5</sub>的消减率最低；独秀大道对PM<sub>10</sub>的消减率最高，其次是集贤南路、菱湖公园、集贤北路，狮子山公园对PM<sub>10</sub>的消减率最低。5种不同的植物群落配置对PM<sub>2.5</sub>和PM<sub>10</sub>的消减率大小顺序为：乔灌草型>乔灌型>乔草型>灌草型>乔木型。不同的植物配置有不同的滞尘能力，通过对植物的合理搭配，可以创造出符合场,False,否
常州市道路扬尘污染管控现状与路径优化研究,于斌,"0
source      期刊
source    绿色科技
Name: 6, dtype: str",,"为研究常州市道路扬尘污染管控现状及其优化途径，采用事实研究、实地调研、文献资料调研、结合比对分析和统计分析等多种方法，对常州市和周边城市空气颗粒物、道路扬尘污染现状和管控措施实施效果进行评估。结果表明：在秋冬季，常州及周边城市空气环境主要污染物是细颗粒物污染(PM<sub>2.5</sub>),扬尘污染在本地贡献颗粒物污染中约占50%,与大气颗粒物污染高度相关，空气质量与无锡市、苏州市相比仍存在一定差距。对常州市及周边城市道路扬尘管控现状进行分析，表明：常州市道路保洁投入单价为7.8元，明显低于苏州市（10.7元）和无锡市（11.98元）。同时，常州市保洁车辆全省占比仅4.04%,新能源保洁车辆仅占保洁车辆的6.8%。常州市现有保洁车辆作业时，PM<sub>2.5</sub>年排放为62.6 kg, PM<sub>10</sub>年排放为66.1 kg。基于此，从产业结构优化整合、加大科技力量支撑、加大财政资金保障投入、科学制定作业标准、强化部门联动协作和严格道路积尘考核标准等方面提出常州市道路扬尘管控优化的路径。",False,否
无锡市大气降尘时空分布特征浅析,张萌; 黄佳欢; 魏轲; 周嘉铭,"0
source      期刊
source    云南化工
Name: 7, dtype: str",,以无锡市7个大气降尘监测点2021年1月—2024年2月的数据为基础，分析无锡市大气降尘时空分布特征。结果表明，2021—2023年期间，无锡市大气降尘量整体呈现波动下降趋势，具有明显的季节化特征，表现为春、夏季大气降尘量高于秋、冬季，月均大气降尘量的变化范围在2.3～3.5（t/月·km<sup>2</sup>）之间；大气降尘受人类活动、风速和城市扬尘的影响较大，并且和PM<sub>10</sub>的污染来源具有一致性。,False,否
国能九江燃煤转运皮带机高压自动微雾降尘系统应用,黄天健; 黄晓明; 李旭,"0
source       期刊
source    能源与环境
Name: 8, dtype: str",,介绍了高压自动微雾降尘系统在转运皮带机中的应用，该系统通过在尘源发生点布置微雾喷嘴模组的方式，实现对粉尘的降尘辅助。具体方案包括在碎煤室转运站和煤仓间转运站的头部护罩卸料点及挡尘帘间安装微雾喷嘴，形成微雾“水幕屏障”抑制卸料时的扬尘，并防止粉尘溢出至外部空间。此外，对导料槽结构进行改造，在导料槽各关键点安装微雾喷嘴模组，通过微雾与导料槽内部粉尘的接触碰撞，实现粉尘沉降在导料槽内，降低导料槽出口的粉尘污染。该文详细说明了头部护罩和导料槽的具体微雾喷嘴布置方案，以减少粉尘对生产作业和人员健康的影响，提高系统的环保性和操作安全性。,False,否
2020—2022年常州市武进区140家企业职业危害监测分析,周一超,"0
source       期刊
source    职业与健康
Name: 9, dtype: str",,目的 了解2020—2022年常州市武进区工作场所职业危害因素监测的基本情况，为本区的职业健康防治工作提供参考。方法 对2020—2022年武进区各类涉及职业病危害因素的140家企业开展职业卫生调查和相关监测，并对监测结果进行汇总、分析。结果 武进区进行职业危害因素监测的企业以小、微型企业为主，占86.43%，且小、微型企业职业健康检查覆盖率不足100.00%。本次调查中不同职业危害因素的超标工作场所点数和超标企业数占比最多的依次为粉尘因素中以矽尘为主，占23.81%和42.86%；化学因素中以二甲苯为主，占5.45%和5.41%；物理因素中以噪声为主，占17.02%和45.28%。职业健康检查结果显示，粉尘因素中接触矽尘职工职业健康检查异常率最高为1.64%，化学因素中接触苯职工职业健康检查异常率最高为0.75%，物理因素中接触噪声职工职业健康检查异常率最高为0.86%。结论 需重点关注小、微型企业的职业健康监管，加强矽尘、苯及其化合物和噪声等接害因素的职业风险监测。,False,否
